object_id,canonical_label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
cableduct_1,Cableduct,LGBM baseline,5.0,1236,0.08399705179303432,0.1700607982540436,0.36679239406355996,0.48642474875887803,-0.8615319727864366,0.6719444064407138,,
cableduct_1,Cableduct,LGBM baseline,10.0,1235,0.05234761700235729,0.1197830209837462,0.37155482319960104,0.4987571839329805,-0.9124372361633561,0.7103946868224356,,
cableduct_1,Cableduct,LGBM tuned,5.0,1236,0.02825070389022826,0.11407548668504036,0.3464992435493294,0.4821017786595508,-0.9338482333783515,0.5997798659300351,,
cableduct_1,Cableduct,LGBM tuned,10.0,1235,0.012251066080604433,0.1134201534765075,0.3663486254721736,0.4932026641257613,-1.003565631797497,0.6337902848022865,,
cableduct_1,Cableduct,XGBoost baseline,5.0,1236,0.08185147143367043,0.16203593963623136,0.3794858480111034,0.5003747980478149,-0.8984617459411632,0.6786687438659662,1.3463335218446602,0.8131067961165048
cableduct_1,Cableduct,XGBoost baseline,10.0,1235,0.10241030622390562,0.1914268547363278,0.41435688231650913,0.52475890322865,-0.9509806941772466,0.7675027664062497,1.4028826761133604,0.8307692307692308
cableduct_1,Cableduct,XGBoost tuned,5.0,1236,0.01506139684140107,0.09414920184326189,0.3398229537656717,0.47394138099080935,-0.9252322804870606,0.5984655631103504,1.5076231148867312,0.8996763754045307
cableduct_1,Cableduct,XGBoost tuned,10.0,1235,0.00828735547309907,0.108421074462889,0.36074534769894995,0.48964280865734783,-1.0346468722167963,0.6381258091552726,1.6487802453441296,0.897165991902834
cableduct_2,Cableduct,LGBM baseline,5.0,1582,0.09630755790647415,0.19234076397002825,0.3749319700761539,0.48415965842779934,-0.8802207623786747,0.6840204132978003,,
cableduct_2,Cableduct,LGBM baseline,10.0,1589,0.13512344932001533,0.2093098170722847,0.40826262882755826,0.5273579882432318,-0.9449604825671137,0.7928633039812701,,
cableduct_2,Cableduct,LGBM tuned,5.0,1582,0.034552414020332156,0.11657151508734025,0.3386763111639649,0.4595268827660036,-0.8894299186583857,0.6274729030023289,,
cableduct_2,Cableduct,LGBM tuned,10.0,1589,0.022874413018219734,0.1111885166474557,0.352516296714483,0.4779277891841424,-0.9278470268316894,0.6093745827963558,,
cableduct_2,Cableduct,XGBoost baseline,5.0,1582,0.05347006413105072,0.13964752874755776,0.3479967048134593,0.4658512078167043,-0.8791394325744643,0.6237038524658194,1.4835123704171933,0.9146649810366625
cableduct_2,Cableduct,XGBoost baseline,10.0,1589,0.03461810542846962,0.1289175632324202,0.36021616907393833,0.48097175906388556,-0.9287760385009768,0.6219612656250006,1.5675207501573314,0.9100062932662052
cableduct_2,Cableduct,XGBoost tuned,5.0,1582,0.009901198592503034,0.08819096405029285,0.32772543363155937,0.4564296670414803,-0.9031021066284184,0.6117537803955081,1.6331437168141592,0.943109987357775
cableduct_2,Cableduct,XGBoost tuned,10.0,1589,0.01987155170616245,0.1131551154785164,0.34852526287295077,0.47236487146358586,-0.9492545090576171,0.6260816444335926,1.6998018168659534,0.9414726242920075
cableduct_3,Cableduct,LGBM baseline,5.0,1762,0.07532738436571677,0.1562520569327574,0.3157362874482708,0.41103697248680604,-0.720643972448937,0.5920333073008738,,
cableduct_3,Cableduct,LGBM baseline,10.0,1754,0.09416912016073886,0.1416346169367397,0.3587920096050303,0.46311728485666365,-0.7665002310923194,0.7364948402299759,,
cableduct_3,Cableduct,LGBM tuned,5.0,1762,0.022439208806294308,0.08445611832134145,0.2915385187078479,0.3943251447059161,-0.7406784848007584,0.5479635505638496,,
cableduct_3,Cableduct,LGBM tuned,10.0,1754,0.014248560914050988,0.08489298835645614,0.3186589800255058,0.4222158420109911,-0.8079872190410413,0.5722772355639844,,
cableduct_3,Cableduct,XGBoost baseline,5.0,1762,0.0392671348710221,0.1067320709228507,0.2957686964455416,0.3972785541652891,-0.7562216974548345,0.5578423935119627,1.3623510885357548,0.9108967082860386
cableduct_3,Cableduct,XGBoost baseline,10.0,1754,0.02424984627174254,0.1090617355346701,0.32402535609967853,0.4241804702133857,-0.7800993983093256,0.5883166694274894,1.4644177371721778,0.9025085518814139
cableduct_3,Cableduct,XGBoost tuned,5.0,1762,0.008971233523787066,0.07104154980468805,0.28310168033059757,0.39258536801368277,-0.7743218325012212,0.5331842810058597,1.5175946231555053,0.9392735527809307
cableduct_3,Cableduct,XGBoost tuned,10.0,1754,0.0143368465107331,0.0905705564575196,0.31499337391178334,0.4173656148524784,-0.7936292736511236,0.5645973289489752,1.618327759977195,0.927594070695553
cableduct_4,Cableduct,LGBM baseline,5.0,1831,0.03857262109729332,0.1210309914761147,0.35111373263347695,0.47376551813519946,-0.8706069746845309,0.6105344730551394,,
cableduct_4,Cableduct,LGBM baseline,10.0,1816,0.09636504727679718,0.153413032144293,0.3931913721200114,0.5177374978733421,-0.8102752760692677,0.7919928755896102,,
cableduct_4,Cableduct,LGBM tuned,5.0,1831,0.009496998596716747,0.0862142660347586,0.33184215679627205,0.45714483680942436,-0.8301258042554096,0.5912523350700489,,
cableduct_4,Cableduct,LGBM tuned,10.0,1816,0.004412040947777847,0.06914787333186995,0.34645281750863394,0.47610998176454256,-0.8414339899836696,0.6470504214705892,,
cableduct_4,Cableduct,XGBoost baseline,5.0,1831,0.01221245685257801,0.0903667283935547,0.3324603738095645,0.45788958098197513,-0.8494035089111343,0.5658169311523427,1.496657451119607,0.9071545603495358
cableduct_4,Cableduct,XGBoost baseline,10.0,1816,-0.00347626584991588,0.069126720031738,0.34724861025839654,0.47575244088952096,-0.8616584534301754,0.6388999740600587,1.6879235952643172,0.9063876651982379
cableduct_4,Cableduct,XGBoost tuned,5.0,1831,-0.010190794549530528,0.063961390747071,0.3251009049680284,0.45568404220309616,-0.8486063246459974,0.5795116743164073,1.7095414685963952,0.9377389404696886
cableduct_4,Cableduct,XGBoost tuned,10.0,1816,0.010125335536469457,0.07814038592529285,0.34016905222902005,0.46838003941111006,-0.837668253234864,0.638053696716308,1.8116108232378856,0.9317180616740088
chair_1,Chair,LGBM baseline,5.0,132,0.13117720777680236,0.22031355234735273,0.32993276733254273,0.432553754522163,-0.5243163663903067,0.5461492604024961,,
chair_1,Chair,LGBM baseline,10.0,133,0.1917556344730796,0.2684636824015989,0.37737049833923564,0.4430060616803056,-0.5524293037186823,0.6915941948224611,,
chair_1,Chair,LGBM tuned,5.0,132,0.08780340867607027,0.18769174076344086,0.3234125767624192,0.43571992817982663,-0.6168460233597718,0.5827696182137354,,
chair_1,Chair,LGBM tuned,10.0,133,0.13150660653039695,0.2310648846609631,0.3354209965528537,0.410526997255856,-0.5799544962387955,0.5662274745864571,,
chair_1,Chair,XGBoost baseline,5.0,132,0.22255942959964656,0.3015948425292976,0.3917073696538754,0.494659531215075,-0.4926910785644517,0.7439752435913087,1.82998175,0.7803030303030303
chair_1,Chair,XGBoost baseline,10.0,133,0.3091333528676428,0.430108845092775,0.44906533759325085,0.5150127944314251,-0.4595274087890622,0.8401637479492193,2.097987639097744,0.7669172932330827
chair_1,Chair,XGBoost tuned,5.0,132,0.09737126676709744,0.18432700915527356,0.32207984416152513,0.42949084482794925,-0.5663969489379882,0.5474043264892586,1.8908960833333337,0.9318181818181818
chair_1,Chair,XGBoost tuned,10.0,133,0.17858116138429578,0.2796571947021498,0.36214427878105937,0.4363415268079644,-0.564764525097656,0.6123865297363273,2.0919953984962407,0.8195488721804511
