model_version,model_family,tuning,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
LGBM baseline,LGBM,baseline,5.0,15350,0.08972837857010663,0.1590875153252717,0.3289636947789389,0.4381659089665575,-0.7508810422663076,0.6347714212123295,,
LGBM baseline,LGBM,baseline,10.0,15275,0.10583425068150261,0.1500818205782828,0.3689011773888923,0.49393103582872755,-0.7841469996119261,0.7980758960476014,,
LGBM tuned,LGBM,tuned,5.0,15350,0.04387787854544332,0.1054873246560603,0.30651644983913795,0.4243913936335099,-0.7723901417866165,0.5902705047988533,,
LGBM tuned,LGBM,tuned,10.0,15275,0.047434992520321816,0.12109213008614,0.33452611457532816,0.45535453833697576,-0.8287560758963998,0.6380735183839638,,
XGBoost baseline,XGBoost,baseline,5.0,15350,0.07144233960474933,0.140476352600098,0.3209563243793235,0.4331995689109308,-0.7675338138427733,0.608954140643311,1.4219737157654722,0.8906840390879479
XGBoost baseline,XGBoost,baseline,10.0,15275,0.0874386361094773,0.167341060791017,0.3596797944092677,0.4720510968529317,-0.8123288055175795,0.6866697031738279,1.521108466448445,0.8704418985270049
XGBoost tuned,XGBoost,tuned,5.0,15350,0.02469858780550449,0.08522671722412055,0.29709371123487177,0.420094346055256,-0.7790855364685061,0.5743859364562991,1.5523153218241041,0.9310097719869707
XGBoost tuned,XGBoost,tuned,10.0,15275,0.04118660938766655,0.1130145400390638,0.3307996743875227,0.45172611123709194,-0.8301199644287108,0.6266403193359357,1.708623554697218,0.9241243862520458
