horizon,split,mae,rmse,r2
10min,train,0.3386793088964403,0.5057103756061244,0.8015129483691871
10min,valid,0.47513762507792734,0.6109189290197822,0.4120824032513388
10min,test,0.3307996743875227,0.451726111237092,0.714265130279887
