horizon,split,mae,rmse,r2
20min,train,0.5450273890129035,0.8179616737450901,0.8489528978338794
20min,valid,0.6301868710897439,0.8763728996067682,0.7376678383455854
20min,test,0.5717822319318263,0.8093445381881755,0.8334193359962664
