number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
0,0.8928623046765788,2026-06-01 00:46:21.837879,2026-06-01 00:46:25.843937,0 days 00:00:04.006058,0.038052091892039265,12,124,58,2.8257520714515276e-07,66,0.6520297997183497,0.7277031385674466,COMPLETE
1,0.8774792654957874,2026-06-01 00:46:25.843996,2026-06-01 00:46:26.834216,0 days 00:00:00.990220,0.05520138953395545,3,124,33,0.03853046809773397,61,0.6311794196876112,0.7370050644114413,COMPLETE
2,0.8806930079304834,2026-06-01 00:46:26.834263,2026-06-01 00:46:28.759934,0 days 00:00:01.925671,0.05027253932873333,12,50,18,4.910881717782746e-07,57,0.6355418352189726,0.7350751139852709,COMPLETE
3,0.8871924793494229,2026-06-01 00:46:28.760039,2026-06-01 00:46:31.973059,0 days 00:00:03.213020,0.02142099844547284,6,92,36,5.113649633234538e-06,125,0.6435173916508119,0.7311504197412941,COMPLETE
4,0.8802516516675604,2026-06-01 00:46:31.973115,2026-06-01 00:46:36.320948,0 days 00:00:04.347833,0.011239505740409895,4,79,85,0.00017455030150754618,273,0.63416247281563,0.7353405798354568,COMPLETE
5,0.8794606853110536,2026-06-01 00:46:36.321022,2026-06-01 00:46:39.263679,0 days 00:00:02.942657,0.02080510765641852,4,123,104,2.7041867594649292e-08,148,0.6331841454300082,0.7358159953492163,COMPLETE
6,0.8800148928890579,2026-06-01 00:46:39.263737,2026-06-01 00:46:45.183730,0 days 00:00:05.919993,0.005988250057822247,4,191,84,9.580154309406542,555,0.6324910445652447,0.7354829300693211,COMPLETE
7,0.8849824341909888,2026-06-01 00:46:45.183796,2026-06-01 00:46:55.278310,0 days 00:00:10.094514,0.006555094372947843,6,140,107,0.00012412851132984423,469,0.6364580512284613,0.7324881895541089,COMPLETE
8,0.8853130669114915,2026-06-01 00:46:55.278545,2026-06-01 00:47:07.113530,0 days 00:00:11.834985,0.005500192756455945,7,183,29,2.5522333020957386e-06,548,0.6378724491526847,0.7322882654052976,COMPLETE
9,0.8856875326986734,2026-06-01 00:47:07.113591,2026-06-01 00:47:10.748915,0 days 00:00:03.635324,0.021144348148283282,6,114,90,5.240066948417568e-07,134,0.6400030281648149,0.7320617464695799,COMPLETE
10,0.9007364802509409,2026-06-01 00:47:10.748971,2026-06-01 00:47:13.522173,0 days 00:00:02.773202,0.07352059504020741,9,13,56,0.5670653718075122,34,0.6538278335602009,0.7228791746055444,COMPLETE
11,0.8779589798101435,2026-06-01 00:47:13.522223,2026-06-01 00:47:14.587390,0 days 00:00:01.065167,0.03113222006704512,3,152,118,0.04616954317064106,110,0.6315035134782652,0.7367174293039005,COMPLETE
12,0.8785080589160835,2026-06-01 00:47:14.587447,2026-06-01 00:47:15.574956,0 days 00:00:00.987509,0.03540914041746672,3,150,128,0.02539925145661205,94,0.6322650608792718,0.7363880103515734,COMPLETE
13,0.8800823976016149,2026-06-01 00:47:15.575007,2026-06-01 00:47:17.466796,0 days 00:00:01.891789,0.07901991920073974,3,160,54,0.010165532375998477,43,0.6322810137961804,0.7354423470433371,COMPLETE
14,0.89104738342455,2026-06-01 00:47:17.467082,2026-06-01 00:47:22.990596,0 days 00:00:05.523514,0.034366933337989486,9,166,120,0.03323030532006259,81,0.6455804178396187,0.728809009160457,COMPLETE
15,0.8843800346294725,2026-06-01 00:47:22.990661,2026-06-01 00:47:25.592710,0 days 00:00:02.602049,0.055348071075300806,5,58,69,0.0019416658965726867,48,0.6400155101434751,0.7328522513586253,COMPLETE
16,0.8865506415580975,2026-06-01 00:47:25.592779,2026-06-01 00:47:35.381988,0 days 00:00:09.789209,0.012353501426305683,8,138,42,0.5873765384271659,222,0.6418492864893127,0.7315392765147355,COMPLETE
17,0.8801453540119054,2026-06-01 00:47:35.383182,2026-06-01 00:47:36.706582,0 days 00:00:01.323400,0.029787122504917274,3,98,20,0.4008804279617305,114,0.6338704329198718,0.7354044955968886,COMPLETE
18,0.883744583006632,2026-06-01 00:47:36.706650,2026-06-01 00:47:38.802288,0 days 00:00:02.095638,0.052862912480983584,5,173,103,0.002521179378655661,57,0.63612282764365,0.733236019592461,COMPLETE
19,0.897079084735958,2026-06-01 00:47:38.802353,2026-06-01 00:47:47.472455,0 days 00:00:08.670102,0.026582323523436733,10,74,73,4.1104197684258965,96,0.6532087940696815,0.7251250762001915,COMPLETE
20,0.8814394650597429,2026-06-01 00:47:47.472514,2026-06-01 00:47:52.469783,0 days 00:00:04.997269,0.014448449896390084,5,196,45,0.10136543558939737,203,0.6349869873180782,0.7346258339872456,COMPLETE
21,0.8783687410455742,2026-06-01 00:47:52.469846,2026-06-01 00:47:53.895335,0 days 00:00:01.425489,0.043583212063727304,3,147,118,0.013458802535150475,82,0.630737429524817,0.7364716133386773,COMPLETE
22,0.8784779988589002,2026-06-01 00:47:53.895569,2026-06-01 00:47:55.379544,0 days 00:00:01.483975,0.042969099536188875,3,138,116,0.0009739612738620361,78,0.6332537978692072,0.7364060501540108,COMPLETE
23,0.878139390637369,2026-06-01 00:47:55.379687,2026-06-01 00:47:56.757188,0 days 00:00:01.377501,0.056590501900150296,4,152,94,2.744204313500204e-05,51,0.6344540707976819,0.7366092148935985,COMPLETE
24,0.8763728996067682,2026-06-01 00:47:56.757246,2026-06-01 00:47:58.256987,0 days 00:00:01.499741,0.06410645016224895,4,111,99,3.0078960910493443e-05,48,0.6301868710897439,0.7376678383455854,COMPLETE
25,0.88552993204446,2026-06-01 00:47:58.257044,2026-06-01 00:48:00.179024,0 days 00:00:01.921980,0.06606621203001162,5,113,74,2.7903180315330054e-05,48,0.6374031123166036,0.7321570927073775,COMPLETE
26,0.8797839230222233,2026-06-01 00:48:00.179091,2026-06-01 00:48:01.786617,0 days 00:00:01.607526,0.06034327790825018,4,125,127,0.11898619322887002,51,0.634108250560611,0.7356217628443387,COMPLETE
27,0.878802641920987,2026-06-01 00:48:01.786673,2026-06-01 00:48:03.560410,0 days 00:00:01.773737,0.028889026142455705,3,103,112,0.00026869904483770203,118,0.6328419801414114,0.7362111909563152,COMPLETE
28,0.8892972525986416,2026-06-01 00:48:03.560470,2026-06-01 00:48:07.955716,0 days 00:00:04.395246,0.045470089863375855,7,87,95,2.094367963237432,64,0.6416304705407202,0.729873270421397,COMPLETE
29,0.893100744479926,2026-06-01 00:48:07.955783,2026-06-01 00:48:12.241502,0 days 00:00:04.285719,0.0371856047480225,12,121,62,0.004618794588130396,67,0.6523834528901927,0.7275576848304383,COMPLETE
30,0.883311409109326,2026-06-01 00:48:12.241604,2026-06-01 00:48:14.937177,0 days 00:00:02.695573,0.016324753656055915,4,33,98,3.835270756376172e-05,183,0.6371909200237488,0.7334974681493454,COMPLETE
31,0.8784271268366242,2026-06-01 00:48:14.937807,2026-06-01 00:48:16.459554,0 days 00:00:01.521747,0.06264991821242442,4,157,86,1.3955028541553035e-05,47,0.6329566846256423,0.7364365783380677,COMPLETE
32,0.8828758159720761,2026-06-01 00:48:16.459615,2026-06-01 00:48:18.372186,0 days 00:00:01.912571,0.05074467203485223,5,131,95,2.4840025523437224e-06,60,0.6345121802824469,0.7337602476163516,COMPLETE
33,0.8778536728806617,2026-06-01 00:48:18.372250,2026-06-01 00:48:19.719020,0 days 00:00:01.346770,0.06743167499680304,4,179,79,8.75995046446944e-08,49,0.6297934004710983,0.7367805844557358,COMPLETE
34,0.8873067765144742,2026-06-01 00:48:19.719082,2026-06-01 00:48:21.331450,0 days 00:00:01.612368,0.07969153417818588,6,179,79,1.3610631767352083e-08,34,0.6427334367351615,0.73108114340057,COMPLETE
35,0.879989401940103,2026-06-01 00:48:21.331497,2026-06-01 00:48:22.552961,0 days 00:00:01.221464,0.0679689860112992,3,168,67,1.5567431332812126e-07,54,0.6307147104792594,0.7354982541133214,COMPLETE
36,0.8781299067362469,2026-06-01 00:48:22.553007,2026-06-01 00:48:23.847968,0 days 00:00:01.294961,0.043949593230266516,4,112,110,0.0006002153999806395,67,0.6330282182449195,0.7366149041012573,COMPLETE
37,0.8806698939172755,2026-06-01 00:48:23.848125,2026-06-01 00:48:26.034716,0 days 00:00:02.186591,0.02490076986373784,4,184,79,1.6390367978008625e-07,127,0.6342842198292213,0.7350890198455498,COMPLETE
38,0.8838296189478608,2026-06-01 00:48:26.034773,2026-06-01 00:48:36.091545,0 days 00:00:10.056772,0.008115170495431872,5,72,102,3.911397914713286e-08,359,0.6366541201880463,0.7331846798321391,COMPLETE
39,0.880265729687931,2026-06-01 00:48:36.092008,2026-06-01 00:48:38.835669,0 days 00:00:02.743661,0.03225673733575697,11,88,16,1.3124785663540503e-06,94,0.6334016893416603,0.7353321142779183,COMPLETE
