feature,importance
minute,524
hour,459
source_temp,451
object_id,356
temp_roll_std_30,278
temp_roll_std_20,272
temp_roll_std_10,226
temp_roll_std_5,224
temp_roll_mean_20,213
temp_roll_mean_5,190
temp_lag_1,160
target_minutes_ahead,158
temp_roll_mean_30,153
nearest_person_dx,128
temp_roll_mean_10,125
temp_lag_2,117
nearest_person_dy,106
day_of_week,97
temp_lag_30,95
temp_lag_13,82
nearest_person_distance,81
mean_person_distance,78
display_y,77
temp_lag_26,76
temp_delta_1,73
temp_lag_7,71
temp_lag_12,66
temp_lag_3,65
temp_lag_16,63
temp_lag_23,58
temp_lag_20,56
temp_lag_25,56
display_x,55
temp_lag_11,54
temp_lag_24,53
temp_lag_29,52
temp_lag_17,52
temp_lag_19,51
temp_lag_21,50
temp_lag_14,49
temp_lag_8,48
temp_lag_5,47
temp_lag_9,47
temp_lag_15,47
temp_lag_27,45
temp_lag_18,44
temp_lag_22,44
temp_lag_28,43
temp_lag_4,39
temp_lag_10,39
temp_lag_6,38
people_count_total,34
seconds_since_previous,14
canonical_label,12
anchor_y,10
anchor_x,7
people_count_within_3m,1
people_count_within_2m,1
people_count_within_1m,0
observations_in_frame,0
