split,mae,rmse,r2
train,0.3298307840420694,0.49169296292121295,0.8123638825605558
valid,0.4825794202637216,0.6199618064126172,0.3945487702223597
test,0.33452611457532816,0.45535453833697576,0.7096564438804405
