split,people_group,rows,mae,rmse,r2
train,all_rows,32375,0.3298307840420694,0.49169296292121295,0.8123638825605558
train,no_person_detected,20550,0.27051916125179665,0.4217828099480013,0.8438222349361698
train,person_detected,11825,0.4329051052547633,0.5939215422273829,0.7291239961023995
train,person_within_1m,699,0.5235815504354482,0.7379267418765125,0.7640861590521344
train,person_within_2m,2115,0.5062026374600934,0.689620863908263,0.735032649824304
train,person_within_3m,4165,0.473983328690378,0.6495240951629617,0.7297204973842955
valid,all_rows,7377,0.4825794202637216,0.6199618064126172,0.3945487702223597
valid,no_person_detected,5424,0.4259746495284083,0.5350687430682904,0.31331413592254964
valid,person_detected,1953,0.63978591103092,0.8103547885963452,0.25647342113907146
valid,person_within_1m,94,0.6474762168424156,0.8513946141611533,0.2809598709240755
valid,person_within_2m,432,0.6282283508753481,0.8124107622097224,0.2605472778418916
valid,person_within_3m,847,0.6368630038149674,0.8305937134293396,0.2729533628808065
test,all_rows,15275,0.33452611457532816,0.45535453833697576,0.7096564438804405
test,no_person_detected,9735,0.29370979486624826,0.3940811493161459,0.7462154809977884
test,person_detected,5540,0.40624937673559763,0.5466326077349636,0.6249369566793339
test,person_within_1m,233,0.41108202286235745,0.5304591476729726,0.4542841061184413
test,person_within_2m,932,0.41036697900542474,0.5663282695577195,0.6525903225273647
test,person_within_3m,1741,0.3999593957523939,0.5490853005646753,0.6364087278211026
