split,canonical_label,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
test,Cableduct,5.0,6937,0.3914086917281341,0.5410590459121237,0.5814555266163421,0.14834096664919275,1.897264063982391,0.7291336312527029
test,Cableduct,10.0,6880,0.41547159125718014,0.5685698634697962,0.5464218182220237,0.14111808982058416,1.9078763578295863,0.7337209302325581
test,Machine,5.0,5244,0.443948502707083,0.5885293825791694,0.5579429558567834,0.2307455820649694,1.4203020403438629,0.7145308924485125
test,Machine,10.0,5221,0.4992583336028817,0.6507044251152422,0.44988281350842485,0.2652053439578063,1.4435383719540251,0.695269105535338
test,Screen,5.0,3848,0.4943362729325276,0.6119597585546396,0.4256629580112705,0.30217154581799655,1.443499544548609,0.6496881496881497
test,Screen,10.0,3811,0.5266171415690342,0.6613642200217047,0.33496151712194633,0.29833584307346256,1.4610372587098244,0.6239832065074784
test,Window,5.0,1169,1.0039815929783713,1.1661748898298863,-0.761628084722058,0.9017831422707596,3.4817799162877323,0.5585970915312233
test,Window,10.0,1184,0.9653010179357072,1.1225721853311565,-0.674652340393705,0.8373189405919337,3.4976739290725227,0.5996621621621622
train,Cableduct,5.0,13737,0.25460665415417083,0.38208349569431943,0.7796843329034631,-0.004412888220604569,1.7248000503786294,0.9632379704447842
train,Cableduct,10.0,13757,0.26234531149155027,0.38538796791190455,0.7779253502178979,0.004405197832649114,1.7395967517024709,0.9579850258050447
train,Machine,5.0,8447,0.21222235569752748,0.3005058804088408,0.9363926332494358,-0.0012917451291226119,1.6764750423100592,0.9663785959512253
train,Machine,10.0,8505,0.2207232463681203,0.30922630316951777,0.9318120357275397,0.0012828734105330428,1.6811873344764494,0.9550852439741329
train,Screen,5.0,10494,0.3416872665235359,0.4993963138811794,0.8755225461101183,-0.004224855606868004,1.6320838697689426,0.960167714884696
train,Screen,10.0,10439,0.37794750388982556,0.5455036182636062,0.8527402455741014,0.004247121271549494,1.6805241994973936,0.9529648433758022
train,Window,5.0,1078,0.15880072216641383,0.22578709938287725,0.9633195747395898,0.0027217128350513113,2.3611994762651816,0.974025974025974
train,Window,10.0,1103,0.16179039980925108,0.23884888314438033,0.9612816247151242,-0.002660015664889762,2.3676293614198882,0.971894832275612
valid,Cableduct,5.0,3039,0.31242460873964617,0.4302454677956745,0.4978775619705057,0.007390781197460339,1.653623865973337,0.9361632115827575
valid,Cableduct,10.0,3052,0.32754459699795324,0.44151943246358655,0.46274349592370545,0.01502499284789159,1.6668354849538467,0.9171035386631717
valid,Machine,5.0,1368,0.24927214098323994,0.32148526127267585,0.7084931326323622,0.04671820071075007,1.4090961218394986,0.8881578947368421
valid,Machine,10.0,1388,0.25138296075445504,0.325100030591111,0.7178386390011687,0.06277774060835727,1.437689181182336,0.8854466858789626
valid,Screen,5.0,1852,0.33226202131071475,0.45670441077411494,0.7617223448166663,0.12936799116667216,1.6606693354843962,0.9568034557235421
valid,Screen,10.0,1832,0.35489058956476366,0.4812482520578126,0.7237927706666945,0.1608030265050179,1.7001879782665892,0.9350436681222707
valid,Window,5.0,54,0.42793272230537793,0.5388633169058563,-1.0093596742852555,-0.40575407525806567,1.8920658540078534,0.9629629629629629
valid,Window,10.0,57,0.5092188092288873,0.6078905154739814,-2.21193456800101,-0.5043955362329193,1.882132917037412,0.9824561403508771
