['Screen', [350.351318359375, 279.5257568359375, 469.3948974609375, 366.3067626953125], [11.0, 4.0]]
['Machine', [482.79620361328125, 135.33392333984375, 559.6322631835938, 214.49066162109375], [4.5, 5.5]]
['Cableduct', [219.1090087890625, 4.993518829345703, 311.94158935546875, 47.4765625], [11.0, 3.0]]
['Cableduct', [341.74224853515625, 57.78843307495117, 367.58013916015625, 72.48875427246094], [6.0, 3.0]]
['Screen', [614.2569580078125, 287.01708984375, 639.873779296875, 365.0244140625], [11.0, 5.0]]
['Cableduct', [561.4720458984375, 73.85379028320312, 599.4625244140625, 89.75234985351562], [9.0, 5.0]]
['Cableduct', [434.09649658203125, 75.46548461914062, 459.82586669921875, 86.31680297851562], [6.5, 5.0]]
['Cableduct', [521.972900390625, 77.71682739257812, 554.9755859375, 91.0084228515625], [11.0, 5.0]]
['Cableduct', [265.0311279296875, 51.728759765625, 296.53826904296875, 67.09255981445312], [6.0, 5.0]]
['Machine', [153.92575073242188, 190.63140869140625, 176.85317993164062, 273.0914001464844], [6.0, 0.7]]
['Machine', [485.4820556640625, 224.1342010498047, 495.56256103515625, 235.1503448486328], [6.0, 5.0]]
