split,people_group,rows,mae,rmse,r2
train,all_rows,18964,0.3099427879763656,0.4598408788365505,0.9468102304011077
train,no_person_detected,9224,0.24618595947841787,0.37670365041415504,0.9524399436136523
train,person_detected,9740,0.37032194465655754,0.5266091099674401,0.9325002674124021
train,person_within_1m,800,0.3898587286349408,0.5281477033525958,0.9097312233743224
train,person_within_2m,2693,0.3912998191107757,0.5407406109766092,0.8978872376445362
train,person_within_3m,4610,0.3867070348602713,0.5527686664462984,0.9137718620624957
valid,all_rows,19146,0.4463329833767358,0.6557997016254707,0.8920055392972389
valid,no_person_detected,7384,0.3437894545974241,0.4999196259458437,0.9127135568218243
valid,person_detected,11762,0.510708210081925,0.7370012732738745,0.8647741822195018
valid,person_within_1m,756,0.46525967916906324,0.6451340680259837,0.7986260753306996
valid,person_within_2m,3250,0.49069883913081846,0.6980300509255055,0.7828452256457453
valid,person_within_3m,5704,0.49763581061318096,0.7152147883093052,0.8036603357041332
test,all_rows,18852,0.39820176966044435,0.6022605937288003,0.9158968897304277
test,no_person_detected,7825,0.3453819520094171,0.5059360632124031,0.9291616785700259
test,person_detected,11027,0.43568386570826234,0.6621687748021762,0.904620650717272
test,person_within_1m,729,0.47159976212651467,0.6706377536640284,0.773276399259226
test,person_within_2m,2891,0.4314786561634389,0.6271611404121572,0.8435731572016327
test,person_within_3m,4937,0.4395903848386765,0.6798292486976311,0.8383003607578345
