feature,importance
temp_roll_mean_5,0.36994392
temp_roll_mean_10,0.2846769
source_temp,0.13862287
temp_lag_1,0.041010592
temp_lag_2,0.039052464
temp_lag_4,0.015545073
temp_roll_mean_30,0.014748725
temp_roll_mean_20,0.012940679
temp_lag_6,0.0090692025
temp_lag_3,0.007518064
temp_lag_9,0.002812949
temp_lag_22,0.0027560443
temp_lag_30,0.0022149512
temp_lag_10,0.0021782268
temp_lag_11,0.0020191825
label,0.0019498882
temp_lag_12,0.0019434487
temp_lag_26,0.0019318867
people_count_within_1m,0.0017218151
hour,0.0017211078
temp_lag_24,0.0016177603
temp_lag_29,0.00160623
temp_lag_19,0.0015847372
temp_lag_27,0.001486609
temp_lag_13,0.0014648127
object_id,0.001464327
temp_lag_7,0.0014628749
temp_lag_5,0.001457649
temp_lag_8,0.0014540375
temp_roll_std_5,0.0014324699
people_count_total,0.0014254944
day_of_week,0.0013679294
temp_roll_std_30,0.0013282873
minute,0.0013173114
anchor_x,0.0012688956
temp_lag_16,0.0012682887
nearest_person_distance,0.0012682669
people_count_within_3m,0.0012609238
temp_roll_std_20,0.0012522881
temp_roll_std_10,0.001250615
people_count_within_2m,0.001216542
temp_lag_17,0.0011578732
temp_lag_21,0.0011091395
nearest_person_dx,0.0011001562
temp_lag_15,0.0010928989
temp_lag_25,0.0010726781
nearest_person_dy,0.0010542843
temp_lag_28,0.0010308461
temp_lag_14,0.001026247
target_minutes_ahead,0.00102538
mean_person_distance,0.0010181027
temp_lag_23,0.0009605738
display_y,0.000921274
temp_delta_1,0.00087284227
temp_lag_20,0.0008432985
temp_lag_18,0.0007675077
display_x,0.00076509244
seconds_since_previous,0.0005474416
observations_in_frame,0.0
anchor_y,0.0
requested_horizon_min,0.0
