feature,importance
temp_roll_mean_5,0.4542137
temp_roll_mean_10,0.22215003
source_temp,0.09387466
temp_lag_1,0.028672835
temp_lag_3,0.023102883
temp_roll_mean_30,0.018165683
temp_roll_mean_20,0.0145580275
temp_lag_4,0.013263424
temp_lag_2,0.011213889
display_y,0.005716587
temp_lag_6,0.005573465
temp_lag_14,0.0055314708
temp_lag_12,0.004977743
temp_lag_21,0.0039425283
hour,0.003759835
temp_lag_19,0.0034912834
temp_lag_23,0.0034905062
object_id,0.003068107
temp_lag_22,0.0027489108
anchor_y,0.0027126444
temp_lag_15,0.0026871634
temp_lag_30,0.002677336
temp_lag_8,0.0026363288
temp_lag_24,0.0026004075
temp_lag_18,0.0025061443
temp_lag_29,0.002483331
temp_lag_13,0.0024547027
temp_lag_10,0.0024362572
temp_lag_26,0.0024030833
temp_lag_17,0.0023628897
temp_lag_20,0.0022927516
display_x,0.0021157304
temp_roll_std_30,0.0021051492
temp_lag_11,0.0020997573
temp_lag_5,0.0020827714
nearest_person_dy,0.0020267107
people_count_within_3m,0.0019941418
label,0.0019903565
temp_lag_16,0.001977328
people_count_within_1m,0.0019166112
people_count_total,0.001902777
temp_lag_28,0.0018777726
temp_lag_25,0.0018683984
temp_lag_27,0.0017763107
temp_roll_std_20,0.001687088
day_of_week,0.00168417
temp_roll_std_5,0.0016686526
target_minutes_ahead,0.0016298034
people_count_within_2m,0.0016289536
mean_person_distance,0.0015785296
temp_lag_7,0.0015582769
temp_roll_std_10,0.0015525555
minute,0.0014736797
nearest_person_distance,0.001470843
seconds_since_previous,0.0014698451
nearest_person_dx,0.0014430513
temp_lag_9,0.0014089107
temp_delta_1,0.0011251054
anchor_x,0.0011181475
requested_horizon_min,0.0
