split,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
test,10.0,16432,0.4782131746708603,0.7015352923113432,0.8792134686805313,-0.025909951734516636,2.2407338619232178,0.9080452775073028
train,10.0,23656,0.4366937894695843,0.6765444118359386,0.8991332143943147,-0.0006887126703689914,2.0704410076141357,0.9527392627663173
valid,10.0,14932,0.5143365220099049,0.7374256853347494,0.8198759740005136,0.0867892426766887,2.084307909011841,0.8388025716581837
