split,people_group,rows,mae,rmse,r2
train,all_rows,23656,0.41592883543200077,0.6249662414541916,0.9139266558881741
train,no_person_detected,10781,0.3412311682815033,0.5155523136480169,0.9143088696954604
train,person_detected,12875,0.4784776159795357,0.7036161599655076,0.9005957492316685
train,person_within_1m,884,0.4731308953810733,0.6621737439321022,0.840245259800102
train,person_within_2m,3278,0.5219941747074363,0.7699451709672521,0.8197457981773597
train,person_within_3m,5763,0.5202679997018821,0.7717299652384207,0.8126424543393341
valid,all_rows,14932,0.5229244144048795,0.7436308538241777,0.8168318640067782
valid,no_person_detected,6252,0.4381489542388969,0.6081643771195913,0.8135087643804515
valid,person_detected,8680,0.5839861859437875,0.8275783918071506,0.7892820933382338
valid,person_within_1m,454,0.5977568969150415,0.8916692213522815,0.633688744376922
valid,person_within_2m,2310,0.640088322468444,0.9409089332352656,0.6303172339345937
valid,person_within_3m,4229,0.6093136923484493,0.8808093907859375,0.6501853295998246
test,all_rows,16432,0.48411545676512685,0.7043079759521716,0.8782568107255931
test,no_person_detected,6344,0.42722504359167973,0.5988454396229917,0.9084397482630715
test,person_detected,10088,0.5198919021628616,0.7632019436207053,0.8553896760857057
test,person_within_1m,545,0.5060289343586678,0.7486419736388544,0.5999392989448218
test,person_within_2m,2409,0.5524672908511808,0.7886713733586328,0.7730962958345627
test,person_within_3m,4244,0.5428767224995071,0.7882747258002737,0.7472696549894746
