split,mae,rmse,r2
train,0.41592883543200077,0.6249662414541916,0.9139266558881741
valid,0.5229244144048795,0.7436308538241777,0.8168318640067782
test,0.48411545676512685,0.7043079759521716,0.8782568107255931
