feature,importance
hour,496
source_temp,492
temp_roll_mean_5,229
temp_roll_std_30,195
temp_lag_1,143
temp_roll_std_20,130
temp_roll_std_10,128
temp_roll_mean_10,127
minute,116
temp_roll_mean_30,105
object_id,104
temp_roll_std_5,94
temp_lag_2,80
temp_roll_mean_20,76
display_y,73
temp_lag_12,68
day_of_week,66
temp_lag_4,58
display_x,51
temp_lag_16,51
temp_lag_3,47
temp_lag_28,47
temp_lag_26,44
temp_lag_30,43
temp_lag_15,41
temp_lag_6,39
nearest_person_dy,38
temp_lag_29,38
temp_lag_17,37
temp_lag_22,35
temp_lag_13,34
temp_lag_20,32
people_count_total,32
temp_lag_24,31
temp_lag_14,30
temp_lag_27,30
temp_lag_10,29
temp_lag_19,29
temp_lag_9,29
temp_lag_23,29
temp_lag_25,28
temp_lag_18,26
temp_lag_21,24
mean_person_distance,23
temp_lag_11,22
nearest_person_dx,19
anchor_y,18
temp_lag_7,16
temp_lag_8,15
nearest_person_distance,14
temp_delta_1,14
people_count_within_3m,9
temp_lag_5,8
anchor_x,3
target_minutes_ahead,3
people_count_within_2m,2
label,0
people_count_within_1m,0
seconds_since_previous,0
