horizon,split,mae,rmse,r2
05min,train,0.30815178551950395,0.47094547243293555,0.827103318629002
05min,valid,0.4164351378758749,0.5576374959507652,0.4864967280219401
05min,test,0.29709371123487177,0.420094346055256,0.7532009247136574
