split,mae,rmse,r2
train,0.35161697179143203,0.5460031322758069,0.9250100222998909
valid,0.4380599607727963,0.6489809323953212,0.8942396389724576
test,0.3840191996495184,0.5900492216831338,0.9192728454644167
