horizon,split,mae,rmse,r2
05min,train,0.27704364092314404,0.42538629369833203,0.8589372356712395
05min,valid,0.4179464276706691,0.5587786630898497,0.48439287861623326
05min,test,0.30651644983913795,0.4243913936335099,0.7481262017583494
