feature,importance
source_temp,185
hour,165
temp_roll_mean_5,96
temp_lag_1,56
object_id,53
temp_roll_mean_10,52
temp_roll_std_30,45
temp_lag_2,28
temp_roll_std_20,28
temp_roll_mean_20,27
temp_roll_mean_30,26
temp_roll_std_10,23
minute,21
display_y,14
temp_lag_30,12
temp_roll_std_5,11
temp_lag_3,11
temp_lag_4,10
day_of_week,10
display_x,10
temp_lag_29,9
temp_lag_12,9
temp_delta_1,8
temp_lag_24,8
temp_lag_26,8
nearest_person_dy,7
mean_person_distance,7
temp_lag_27,7
temp_lag_28,7
temp_lag_23,6
temp_lag_6,6
temp_lag_13,6
nearest_person_distance,5
temp_lag_25,5
temp_lag_9,4
temp_lag_7,4
anchor_y,4
temp_lag_22,3
nearest_person_dx,3
people_count_total,3
temp_lag_11,3
temp_lag_10,3
temp_lag_17,2
temp_lag_14,2
people_count_within_3m,2
temp_lag_21,2
temp_lag_20,1
temp_lag_19,1
temp_lag_18,1
temp_lag_15,1
label,1
temp_lag_8,1
seconds_since_previous,0
anchor_x,0
temp_lag_5,0
people_count_within_1m,0
people_count_within_2m,0
temp_lag_16,0
target_minutes_ahead,0
