split,people_group,rows,mae,rmse,r2
train,all_rows,23656,0.4455541781961518,0.7033474021980359,0.8909827219869244
train,no_person_detected,10781,0.35798841689608724,0.5655357369700545,0.8968876942137363
train,person_detected,12875,0.5188781760661322,0.8007021783374508,0.8712713052787279
train,person_within_1m,884,0.5194769280232828,0.7786651185885956,0.7790920827604667
train,person_within_2m,3278,0.5791627907333733,0.9091321228160638,0.7486841933939774
train,person_within_3m,5763,0.5741255217641524,0.8973788582169132,0.746666788651398
valid,all_rows,14932,0.5140103251461433,0.736200070322273,0.8204742153119373
valid,no_person_detected,6252,0.41990888844044943,0.5962784354875751,0.820727086323372
valid,person_detected,8680,0.5817893784046683,0.8223629037977048,0.791929658157907
valid,person_within_1m,454,0.5869924945076418,0.8721280847741458,0.6495684046395339
valid,person_within_2m,2310,0.6315277206593296,0.9256355343166252,0.6422216488995915
valid,person_within_3m,4229,0.6011985198241286,0.8691134771868514,0.6594137464660295
test,all_rows,16432,0.47921313652378605,0.7007993893736482,0.8794667433008363
test,no_person_detected,6344,0.4225020201177646,0.5965169824204223,0.9091503812182575
test,person_detected,10088,0.5148768282842738,0.7590766417837846,0.8569487626597794
test,person_within_1m,545,0.4960540425439841,0.753129293149324,0.5951290413876655
test,person_within_2m,2409,0.5413478778514113,0.7800338424779828,0.7780391794479226
test,person_within_3m,4244,0.5338547392243331,0.778902975323652,0.753243323876115
