number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
0,0.8919365961926388,2026-06-01 00:46:09.182928,2026-06-01 00:46:10.370351,0 days 00:00:01.187423,0.6624074561769746,0.06978211022792681,5,9.051933359925457,0.8394633936788146,44,0.641795487642962,0.7282674738366892,COMPLETE
1,0.8843117229202246,2026-06-01 00:46:10.370395,2026-06-01 00:46:14.769805,0 days 00:00:04.399410,0.8832290311184182,0.00587367134539713,4,10.527937603524286,0.8404460046972835,486,0.6398158581453238,0.7328935200752527,COMPLETE
2,0.8857296503261642,2026-06-01 00:46:14.769854,2026-06-01 00:46:15.564878,0 days 00:00:00.795024,0.6727299868828402,0.07359661480116786,3,10.156869048804639,0.6849356442713105,36,0.6441531338109896,0.7320362630085274,COMPLETE
3,0.8847928021812181,2026-06-01 00:46:15.564923,2026-06-01 00:46:18.107556,0 days 00:00:02.542633,0.7164916560792167,0.011622891098010615,4,6.772320747954616,0.7727780074568463,241,0.6401981690210816,0.7326028209078324,COMPLETE
4,0.9047359293563012,2026-06-01 00:46:18.107678,2026-06-01 00:46:24.513400,0 days 00:00:06.405722,0.7824279936868144,0.007361009011511541,7,4.2135911338874,0.7465447373174766,369,0.659303287909681,0.7204127679132901,COMPLETE
5,0.9235178517101602,2026-06-01 00:46:24.513448,2026-06-01 00:46:32.203547,0 days 00:00:07.690099,0.6185801650879991,0.008697635342236233,9,6.6565788225497275,0.836965827544817,319,0.6749692182431848,0.7086840597420954,COMPLETE
6,0.9152358636527501,2026-06-01 00:46:32.203603,2026-06-01 00:46:40.388777,0 days 00:00:08.185174,0.9862528132298237,0.008022348220849585,7,1.7155675228380747,0.9795542149013333,354,0.6658237427634277,0.7138855983050565,COMPLETE
7,0.9302850396690667,2026-06-01 00:46:40.388838,2026-06-01 00:46:48.715509,0 days 00:00:08.326671,0.7760609974958405,0.01163486988336814,9,2.0743932540702223,0.8736932106048627,242,0.6794203584090404,0.7043991127495666,COMPLETE
8,0.8865520590289214,2026-06-01 00:46:48.715912,2026-06-01 00:46:50.502713,0 days 00:00:01.786801,0.7035119926400067,0.0197343313857243,3,1.3782737322674024,0.9637281608315128,142,0.6443100519383131,0.7315384180515427,COMPLETE
9,0.9155164399142611,2026-06-01 00:46:50.502766,2026-06-01 00:46:55.985107,0 days 00:00:05.482341,0.6739417822102108,0.01186608731937191,8,6.720748232955919,0.8186841117373118,241,0.6654681735376542,0.713710147981717,COMPLETE
10,0.8875135313091118,2026-06-01 00:46:55.985172,2026-06-01 00:47:02.473043,0 days 00:00:06.487871,0.93345266626398,0.005083833658996859,5,11.664908218666524,0.6071847502459278,566,0.6417906764712941,0.7309558051471976,COMPLETE
11,0.8892912947083996,2026-06-01 00:47:02.473107,2026-06-01 00:47:04.537387,0 days 00:00:02.064280,0.8612363364899769,0.02238475358419971,5,8.305758988748927,0.7339180704892946,128,0.642749620648111,0.7298768898636261,COMPLETE
12,0.8839565604673779,2026-06-01 00:47:04.537442,2026-06-01 00:47:10.199306,0 days 00:00:05.661864,0.8686946326279436,0.005077218509279981,4,4.640328355596374,0.8947013354028087,572,0.6388294995071255,0.7331080307274698,COMPLETE
13,0.884785521596333,2026-06-01 00:47:10.199374,2026-06-01 00:47:15.932784,0 days 00:00:05.733410,0.8745923824088274,0.005152337201489985,4,4.578385719406435,0.9125835306453562,572,0.6388204691961146,0.7326072214857889,COMPLETE
14,0.902777046690982,2026-06-01 00:47:15.932938,2026-06-01 00:47:19.500366,0 days 00:00:03.567428,0.8510571781023799,0.02160126157177756,6,4.433821346071768,0.915790826527786,126,0.6541298891152725,0.7216221499294189,COMPLETE
15,0.8854145709282136,2026-06-01 00:47:19.500427,2026-06-01 00:47:21.092789,0 days 00:00:01.592362,0.9137170478566736,0.042507527195514726,4,11.956181849221789,0.9361593136667272,65,0.640041095437746,0.7322268738474773,COMPLETE
16,0.9009580751083339,2026-06-01 00:47:21.092906,2026-06-01 00:47:29.030981,0 days 00:00:07.938075,0.8217295160623136,0.006295467338949799,6,3.2168037153661966,0.880158119385219,423,0.6547288987047282,0.7227428059675497,COMPLETE
17,0.8854396309008578,2026-06-01 00:47:29.031050,2026-06-01 00:47:30.774431,0 days 00:00:01.743381,0.9984067957444854,0.03782497996096594,3,7.823870568489063,0.7875917352074365,79,0.6419317405248973,0.7322117160165609,COMPLETE
18,0.9423299571533363,2026-06-01 00:47:30.774497,2026-06-01 00:47:38.279199,0 days 00:00:07.504702,0.9281889012746768,0.01613630594344213,10,5.5672727799962995,0.8756623291939449,179,0.6897821148051277,0.6966949404735804,COMPLETE
19,0.8812390718470513,2026-06-01 00:47:38.279249,2026-06-01 00:47:44.285240,0 days 00:00:06.005991,0.8984228022250307,0.006314694786509695,4,9.741099005232977,0.651129729713056,450,0.6370473677524197,0.73474648466995,COMPLETE
20,0.8868452265005751,2026-06-01 00:47:44.287652,2026-06-01 00:47:49.081598,0 days 00:00:04.793946,0.8243914430572358,0.009508228207768829,5,9.371670108975103,0.6295725528518693,300,0.6409975414075082,0.7313608374673563,COMPLETE
21,0.8816126888577341,2026-06-01 00:47:49.081669,2026-06-01 00:47:55.242471,0 days 00:00:06.160802,0.8929859798220147,0.006448874093897211,4,10.196800962545925,0.6845096600714697,443,0.63821800304124,0.734521519080187,COMPLETE
22,0.8847820218826798,2026-06-01 00:47:55.242541,2026-06-01 00:48:00.501832,0 days 00:00:05.259291,0.9582484750483581,0.006540038199120694,3,10.650041373666824,0.6705746128136835,472,0.6404458666364792,0.7326093367923443,COMPLETE
23,0.8819204140391833,2026-06-01 00:48:00.501879,2026-06-01 00:48:04.935548,0 days 00:00:04.433669,0.9019566293645895,0.00975543805126063,4,7.8912680490677785,0.6872763312819629,304,0.6373640845404132,0.734336157248666,COMPLETE
24,0.898733974997727,2026-06-01 00:48:04.935670,2026-06-01 00:48:08.954258,0 days 00:00:04.018588,0.9115937132964043,0.015174755354065914,6,8.197092395326782,0.6879911775416835,186,0.6501974654322911,0.7241099875186421,COMPLETE
25,0.8896887439468535,2026-06-01 00:48:08.954328,2026-06-01 00:48:12.359152,0 days 00:00:03.404824,0.9516696805336932,0.009855507959516523,5,9.376381452625667,0.6547287160339627,291,0.6435044398872571,0.7296353847095778,COMPLETE
26,0.8823961129021676,2026-06-01 00:48:12.359199,2026-06-01 00:48:17.499951,0 days 00:00:05.140752,0.9042887324734776,0.006984548649910067,4,10.982572493409755,0.7203174354167728,408,0.6386485887506211,0.7340494872297413,COMPLETE
27,0.885516439657915,2026-06-01 00:48:17.500051,2026-06-01 00:48:19.963103,0 days 00:00:02.463052,0.8185849085466026,0.013572729859190086,3,7.693324048533104,0.6424205222430375,214,0.642066197025863,0.7321652546280006,COMPLETE
28,0.8953677873324613,2026-06-01 00:48:19.963151,2026-06-01 00:48:25.146276,0 days 00:00:05.183125,0.7607940736903082,0.009249810683603631,6,9.839376351707953,0.7104822951617464,309,0.6475024231809055,0.7261727967035225,COMPLETE
29,0.8883942960937471,2026-06-01 00:48:25.146353,2026-06-01 00:48:26.966514,0 days 00:00:01.820161,0.9695085195737932,0.03463874258570687,5,8.697198865331124,0.6094379952129221,81,0.6418839585953482,0.7304215434703955,COMPLETE
