horizon,split,mae,rmse,r2
20min,train,0.5558909133430748,0.8166939220390336,0.8494207481821064
20min,valid,0.6370473677524197,0.8812390718470513,0.73474648466995
20min,test,0.5710449903825893,0.8068605187904224,0.8344402969961683
