split,mae,rmse,r2
train,0.3055753176059302,0.4525425467798806,0.8403517219976394
valid,0.45442153516055606,0.5867936696584375,0.43139572764170075
test,0.3289636947789389,0.4381659089665575,0.7315106740782746
