feature,importance
source_temp,421
hour,216
temp_roll_mean_20,190
minute,183
temp_roll_mean_5,171
object_id,161
temp_lag_1,129
temp_roll_mean_30,121
temp_roll_std_30,107
target_minutes_ahead,92
temp_roll_mean_10,90
temp_roll_std_20,84
temp_lag_2,68
temp_roll_std_10,65
temp_roll_std_5,63
day_of_week,63
temp_lag_3,38
temp_lag_21,37
nearest_person_dx,31
people_count_total,28
temp_lag_13,27
nearest_person_dy,26
temp_lag_24,24
temp_lag_20,23
nearest_person_distance,23
temp_lag_30,23
temp_lag_25,23
display_x,22
display_y,20
temp_lag_12,19
temp_lag_26,18
temp_lag_23,18
temp_lag_27,17
mean_person_distance,17
temp_lag_22,17
temp_lag_28,16
temp_lag_17,14
temp_lag_19,12
temp_lag_18,11
temp_lag_7,10
temp_lag_15,10
temp_lag_14,10
temp_lag_11,10
temp_lag_29,10
temp_lag_16,9
seconds_since_previous,9
temp_delta_1,9
temp_lag_8,8
temp_lag_6,6
temp_lag_5,6
temp_lag_9,5
people_count_within_3m,5
temp_lag_4,5
temp_lag_10,5
anchor_x,2
anchor_y,2
people_count_within_2m,1
canonical_label,0
observations_in_frame,0
people_count_within_1m,0
