split,people_group,rows,mae,rmse,r2
train,all_rows,32475,0.3055753176059302,0.4525425467798806,0.8403517219976394
train,no_person_detected,20648,0.24771109609908695,0.37937615841044575,0.869829784386524
train,person_detected,11827,0.40659674701941617,0.5577285544426962,0.7584312378078131
train,person_within_1m,711,0.45957540750970866,0.6119333354333849,0.8323292670279205
train,person_within_2m,2140,0.45882292166056277,0.6242195942560649,0.7935615171469435
train,person_within_3m,4186,0.43865031755271217,0.5964323139633089,0.7753389333769858
valid,all_rows,7424,0.45442153516055606,0.5867936696584375,0.43139572764170075
valid,no_person_detected,5488,0.4046732973438848,0.5244049805238575,0.33155563909927155
valid,person_detected,1936,0.595443399384674,0.7354227435217273,0.2651654601702198
valid,person_within_1m,94,0.5447677485704656,0.6740100101605934,0.4670457478310158
valid,person_within_2m,431,0.5830803232689552,0.7233236383703827,0.2214496167222575
valid,person_within_3m,846,0.5860337525669167,0.7342439351039171,0.279710113367712
test,all_rows,15350,0.3289636947789389,0.4381659089665575,0.7315106740782746
test,no_person_detected,9776,0.28885300102574,0.38005961954199263,0.7651609203887939
test,person_detected,5574,0.3993121235789518,0.5247616952604424,0.6446719129043981
test,person_within_1m,238,0.47803134805595976,0.5968943376520088,0.34038048571724133
test,person_within_2m,943,0.4418899415392274,0.5880940750695823,0.6089651597343132
test,person_within_3m,1756,0.4148821400197788,0.5558051753129568,0.6117598984510813
