horizon,split,mae,rmse,r2
10min,train,0.4366937894695843,0.6765444118359386,0.8991332143943147
10min,valid,0.5143365220099049,0.7374256853347494,0.8198759740005136
10min,test,0.4782131746708603,0.7015352923113432,0.8792134686805313
