number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
0,0.745701352384756,2026-06-01 00:41:47.118112,2026-06-01 00:41:50.045766,0 days 00:00:02.927654,0.6624074561769746,0.06978211022792681,5,9.051933359925457,0.8394633936788146,50,0.5230771868799828,0.8158104504013761,COMPLETE
1,0.7413858230107729,2026-06-01 00:41:50.045857,2026-06-01 00:42:13.798166,0 days 00:00:23.752309,0.8832290311184182,0.00587367134539713,4,10.527937603524286,0.8404460046972835,839,0.517431950212399,0.8179361683021936,COMPLETE
2,0.7385008275933918,2026-06-01 00:42:13.798606,2026-06-01 00:42:17.154159,0 days 00:00:03.355553,0.6727299868828402,0.07359661480116786,3,10.156869048804639,0.6849356442713105,91,0.5148281309014996,0.8193503613722137,COMPLETE
3,0.7409535401681141,2026-06-01 00:42:17.154305,2026-06-01 00:42:28.393693,0 days 00:00:11.239388,0.7164916560792167,0.011622891098010615,4,6.772320747954616,0.7727780074568463,414,0.5171456648719001,0.8181484198004287,COMPLETE
4,0.7497892169512529,2026-06-01 00:42:28.394487,2026-06-01 00:42:46.866719,0 days 00:00:18.472232,0.7824279936868144,0.007361009011511541,7,4.2135911338874,0.7465447373174766,502,0.5302225556740684,0.8137854957481941,COMPLETE
5,0.7542270417323397,2026-06-01 00:42:46.866869,2026-06-01 00:43:07.739990,0 days 00:00:20.873121,0.6185801650879991,0.008697635342236233,9,6.6565788225497275,0.836965827544817,407,0.5365394525411062,0.8115746532386006,COMPLETE
6,0.7548491045926843,2026-06-01 00:43:07.740069,2026-06-01 00:43:28.187115,0 days 00:00:20.447046,0.9862528132298237,0.008022348220849585,7,1.7155675228380747,0.9795542149013333,444,0.5338176910786496,0.8112637104050943,COMPLETE
7,0.7601653574920098,2026-06-01 00:43:28.187510,2026-06-01 00:43:46.886379,0 days 00:00:18.698869,0.7760609974958405,0.01163486988336814,9,2.0743932540702223,0.8736932106048627,300,0.5416340561035268,0.8085958841910884,COMPLETE
8,0.7391956328737378,2026-06-01 00:43:46.886549,2026-06-01 00:43:50.406582,0 days 00:00:03.520033,0.7035119926400067,0.0197343313857243,3,1.3782737322674024,0.9637281608315128,374,0.5151187891424709,0.8190102795117429,COMPLETE
9,0.7549466959649891,2026-06-01 00:43:50.406639,2026-06-01 00:43:56.204355,0 days 00:00:05.797716,0.6739417822102108,0.01186608731937191,8,6.720748232955919,0.8186841117373118,282,0.5371171768440263,0.8112149053550407,COMPLETE
