feature,importance
temp_roll_mean_5,0.5634116
temp_roll_mean_10,0.21017596
source_temp,0.049496777
temp_lag_1,0.023979824
temp_lag_2,0.010570319
temp_lag_4,0.0070747184
temp_lag_3,0.006368774
anchor_y,0.0046897153
temp_roll_mean_20,0.0043612327
temp_roll_mean_30,0.003939448
object_id,0.0035869859
temp_lag_12,0.0035431206
display_x,0.0035338053
temp_lag_14,0.003445058
label,0.0032984957
hour,0.0032842732
temp_lag_6,0.0031912632
display_y,0.0031487844
temp_lag_16,0.003126396
temp_lag_15,0.0029137363
temp_lag_18,0.0029011813
temp_lag_17,0.002896113
temp_roll_std_30,0.002783104
temp_lag_28,0.0026575755
temp_lag_22,0.002621407
temp_lag_30,0.0025846867
temp_lag_26,0.0025243652
temp_lag_13,0.0025084626
temp_roll_std_20,0.002487385
temp_lag_23,0.0024816263
temp_lag_19,0.0024689867
temp_lag_27,0.0024432908
temp_lag_21,0.0023978057
people_count_within_3m,0.0023853183
temp_lag_20,0.0023672252
temp_roll_std_10,0.0023280922
temp_lag_10,0.0022549997
temp_lag_24,0.0022463982
day_of_week,0.002211528
temp_roll_std_5,0.0021637264
people_count_total,0.0021215715
temp_lag_7,0.0020746582
temp_lag_29,0.0020671936
nearest_person_dy,0.0020281526
temp_lag_25,0.0019639865
temp_lag_11,0.0019609057
temp_lag_9,0.0019005126
target_minutes_ahead,0.0018592695
nearest_person_dx,0.0018208298
minute,0.0017634402
mean_person_distance,0.001746009
temp_lag_5,0.0017237632
temp_lag_8,0.0016676584
people_count_within_1m,0.0016089653
temp_delta_1,0.0014570319
people_count_within_2m,0.0014419087
anchor_x,0.001404797
nearest_person_distance,0.0013472125
seconds_since_previous,0.0011885458
requested_horizon_min,0.0
