feature,importance
temp_roll_mean_20,0.34496644
temp_roll_mean_5,0.26060784
temp_roll_mean_10,0.21045929
source_temp,0.032775957
temp_roll_mean_30,0.0145762395
temp_lag_1,0.0076723257
temp_lag_2,0.0053249113
temp_lag_3,0.0042617996
people_count_within_3m,0.004179871
object_id,0.0033388995
day_of_week,0.0030857176
hour,0.0029835731
canonical_label,0.0029443116
anchor_x,0.0029294235
temp_lag_22,0.0028946877
temp_lag_23,0.0028245668
temp_roll_std_30,0.0028080235
temp_lag_13,0.0027606522
target_minutes_ahead,0.0027110986
temp_roll_std_20,0.002690886
minute,0.0026505846
anchor_y,0.0025949047
people_count_total,0.0025885268
temp_lag_12,0.002474265
temp_roll_std_10,0.0024365569
people_count_within_2m,0.0024168855
seconds_since_previous,0.0024100018
temp_lag_29,0.0023970162
temp_lag_15,0.0023906108
temp_roll_std_5,0.0023738143
temp_lag_26,0.0023661815
display_x,0.0023565097
temp_lag_20,0.0023307845
temp_lag_18,0.002311177
temp_lag_19,0.0022598065
nearest_person_dx,0.0022251422
temp_lag_17,0.0021684102
temp_lag_14,0.002159963
temp_lag_30,0.0021541307
temp_lag_6,0.0021397667
temp_lag_27,0.0021217498
temp_lag_21,0.0021108806
temp_lag_11,0.0020550445
temp_lag_24,0.0020531376
temp_lag_25,0.0020008013
temp_lag_7,0.0019792318
nearest_person_dy,0.0019517516
temp_lag_28,0.0018757551
temp_lag_16,0.0018428072
temp_lag_8,0.0018093685
mean_person_distance,0.0017808268
observations_in_frame,0.0017710591
nearest_person_distance,0.0017381208
temp_delta_1,0.0017139255
temp_lag_10,0.0017098362
temp_lag_4,0.0017030403
display_y,0.0016799234
temp_lag_9,0.0016495382
temp_lag_5,0.0015585155
people_count_within_1m,0.00089321524
requested_horizon_min,0.0
