feature,importance
hour,602
source_temp,356
temp_roll_std_30,199
object_id,169
temp_roll_mean_5,163
minute,121
temp_roll_std_20,114
display_y,93
temp_roll_mean_10,91
temp_lag_1,86
temp_roll_mean_30,84
temp_roll_mean_20,68
day_of_week,63
display_x,63
temp_roll_std_10,61
people_count_total,49
temp_roll_std_5,43
temp_lag_30,42
temp_lag_27,34
temp_lag_28,31
temp_lag_19,25
temp_lag_26,22
temp_lag_29,22
temp_lag_16,21
anchor_y,20
nearest_person_dy,20
temp_lag_13,19
temp_lag_17,19
temp_lag_3,18
temp_lag_12,17
nearest_person_dx,16
temp_lag_22,16
temp_lag_23,15
temp_lag_2,15
temp_lag_15,13
temp_lag_18,13
temp_lag_25,12
temp_lag_10,11
temp_lag_20,11
temp_lag_21,11
temp_lag_11,10
temp_lag_24,10
temp_lag_7,9
people_count_within_3m,9
temp_lag_9,9
temp_lag_8,8
temp_lag_14,8
temp_lag_5,6
temp_lag_4,6
anchor_x,4
people_count_within_2m,4
target_minutes_ahead,4
nearest_person_distance,4
temp_lag_6,4
mean_person_distance,3
temp_delta_1,2
label,2
people_count_within_1m,0
seconds_since_previous,0
