split,mae,rmse,r2
train,0.5212155737585106,0.7445294258056627,0.8748559454129832
valid,0.6438800762088968,0.8892678518715148,0.7298911312456833
test,0.5851245411461652,0.8219679265680466,0.8281824778845182
