split,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
test,5.0,16571,0.4372986497136753,0.5777924438976146,0.5364318643932455,0.19880543950874946,1.3942253589630127,0.6860780882264197
test,10.0,16469,0.466182553564968,0.6114026077018091,0.48403424773593096,0.19123329625410593,1.4259378910064697,0.6716861983119801
train,5.0,32475,0.2535090849726515,0.38112396173218527,0.8867657223883105,-0.0023632559741555473,1.4068043231964111,0.9534411085450346
train,10.0,32375,0.26963484516438424,0.4035865963753688,0.8735840358926028,0.001869205151722879,1.4626431465148926,0.9517837837837838
valid,5.0,6071,0.30363566269752834,0.409103287951583,0.7595115114846825,0.04854997679588335,1.4283604621887207,0.9141821775654753
valid,10.0,6050,0.31573433986211097,0.42301464486670554,0.7420160751062689,0.05258902986364447,1.4827438592910767,0.9054545454545454
