split,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
test,5.0,15350,0.3296574599952285,0.43814354452071147,0.7315380813303043,0.0836862778644084,1.4564924240112305,0.8895114006514658
test,10.0,15275,0.3531398996381765,0.46722126334061104,0.6943263155454118,0.08530424169010843,1.5353856086730957,0.8810474631751227
train,5.0,32475,0.300923432596635,0.44956432013237263,0.8424461292794068,-0.0027966303687845286,1.368445634841919,0.9520862201693611
train,10.0,32375,0.32880559570387663,0.4846656845915535,0.8176889484344169,0.002898027649234341,1.4614496231079102,0.9512586872586872
valid,5.0,7424,0.5071758082839264,0.6400608481379665,0.32347818733791556,0.30946998772260514,1.4897489547729492,0.5828394396551724
valid,10.0,7377,0.5358760581906824,0.6748901963459012,0.2825105251447668,0.3013833855053553,1.5611240863800049,0.5938728480412092
