iteration,split,rmse
1,train,2.0492707445001956
2,train,1.99855959122711
3,train,1.9497711812322567
4,train,1.9024341835546923
5,train,1.8567987385199727
6,train,1.812833215245248
7,train,1.7700754802319383
8,train,1.7290971577565035
9,train,1.6894054031608188
10,train,1.6509635737347648
11,train,1.6140457092601117
12,train,1.5779752467266512
13,train,1.5432508100982247
14,train,1.5100492271688002
15,train,1.4781296274552227
16,train,1.4472644432694384
17,train,1.4176132244077215
18,train,1.3890937241602457
19,train,1.3616801590679593
20,train,1.3349501617076605
21,train,1.3098923517729268
22,train,1.2855669333912736
23,train,1.2620172903794844
24,train,1.2387949984980338
25,train,1.2167549305751535
26,train,1.1955752798646322
27,train,1.1750085321374084
28,train,1.1550796484083183
29,train,1.1358885751577512
30,train,1.1173844857075552
31,train,1.0995812778299685
32,train,1.0830721930284941
33,train,1.0671575799571826
34,train,1.0517338300969872
35,train,1.0367954235489834
36,train,1.0226294278236103
37,train,1.0084877697636283
38,train,0.9948655617915699
39,train,0.9820062129150736
40,train,0.9697457692809309
41,train,0.9582103190702124
42,train,0.9472720218984412
43,train,0.9365512608438918
44,train,0.9260408014892311
45,train,0.9159047839018055
46,train,0.9061330427990284
47,train,0.8971332747040377
48,train,0.8877649550252391
49,train,0.8791136200184874
50,train,0.8708778334136345
51,train,0.8630770420985929
52,train,0.8552528021813506
53,train,0.8481969935777358
54,train,0.841258754196048
55,train,0.8347680360318438
56,train,0.8284141748729279
57,train,0.8217257883003688
58,train,0.8154852673126124
59,train,0.8097339421762296
60,train,0.8037807071694857
61,train,0.7984392624722444
62,train,0.793149708345038
63,train,0.7882208997917375
64,train,0.7836849331949489
65,train,0.7792050104625383
66,train,0.7744901303616207
67,train,0.769906956030141
68,train,0.765951039270565
69,train,0.7619098029606864
70,train,0.7584351028469082
71,train,0.7546910325023366
72,train,0.7514648611924968
73,train,0.7476496221551754
74,train,0.744467867459618
75,train,0.7408923667290012
76,train,0.7374282199302298
77,train,0.7337889233206814
78,train,0.7306925235021048
79,train,0.7277202798929789
80,train,0.7246986519000196
81,train,0.7220458958048847
82,train,0.7198673364955238
83,train,0.7168088922454642
84,train,0.7143303888408425
85,train,0.7118091708020388
86,train,0.7093443883348385
87,train,0.7071725416506526
88,train,0.70517804712068
89,train,0.7027155465103885
90,train,0.7008507516424395
91,train,0.6988816049688504
92,train,0.6971096323746805
93,train,0.6954029536000175
94,train,0.6935873977253426
95,train,0.6915343872286597
96,train,0.6897620130996154
97,train,0.6881862970858693
98,train,0.6862991898313759
99,train,0.6842381573985195
100,train,0.6820157853141114
