feature,importance
temp_roll_mean_5,0.43339846
temp_roll_mean_10,0.26888436
source_temp,0.10422905
temp_lag_1,0.02594236
temp_roll_mean_20,0.012548198
display_y,0.007247994
hour,0.0054755276
temp_lag_2,0.005045294
object_id,0.004995944
temp_lag_28,0.0049805003
temp_lag_12,0.004738464
label,0.004450751
temp_roll_mean_30,0.0041879853
temp_roll_std_30,0.0039754054
target_minutes_ahead,0.0037887394
temp_lag_13,0.003683207
temp_lag_27,0.0035855803
people_count_total,0.0035471073
temp_lag_30,0.0034418032
temp_lag_29,0.003411768
temp_roll_std_20,0.003236234
temp_lag_18,0.003101096
temp_lag_3,0.002991086
anchor_y,0.0028894339
temp_lag_17,0.0028102268
people_count_within_3m,0.0027624501
temp_lag_19,0.002758956
day_of_week,0.0027462947
temp_roll_std_10,0.0026561727
temp_lag_21,0.0026559823
temp_lag_14,0.0026364122
temp_lag_15,0.0025912796
temp_lag_25,0.0025896442
temp_lag_26,0.0025217119
display_x,0.0024978553
temp_roll_std_5,0.0024896164
temp_lag_16,0.0024715215
temp_lag_22,0.0024476722
minute,0.0024376977
nearest_person_dx,0.0023198237
temp_lag_8,0.0022389938
temp_lag_10,0.002188093
temp_lag_6,0.0021441306
temp_lag_9,0.0021033185
nearest_person_dy,0.0020859612
temp_lag_11,0.002044385
mean_person_distance,0.0020359159
temp_lag_24,0.0020268026
temp_lag_20,0.0019008775
temp_lag_7,0.0018907884
temp_lag_23,0.0018825794
temp_lag_4,0.0017217175
temp_delta_1,0.0016153787
temp_lag_5,0.0016061355
people_count_within_2m,0.0015820758
nearest_person_distance,0.0015365875
seconds_since_previous,0.0015081189
people_count_within_1m,0.0013890362
anchor_x,0.0013295282
requested_horizon_min,0.0
