split,people_group,rows,mae,rmse,r2
train,all_rows,23109,0.5450273890129035,0.8179616737450901,0.8489528978338794
train,no_person_detected,10476,0.4521922164981436,0.65780894051197,0.8555537508367422
train,person_detected,12633,0.6220115786166891,0.9300833525496911,0.8235611736432689
train,person_within_1m,867,0.6008864268267539,0.8866939235636117,0.7132978730918353
train,person_within_2m,3234,0.6977446787851028,1.0823587515122548,0.6558420749394466
train,person_within_3m,5689,0.6772568862197178,1.0322599789382183,0.6736014994686381
valid,all_rows,14662,0.6301868710897439,0.8763728996067682,0.7376678383455854
valid,no_person_detected,6128,0.5269091864336894,0.7292069447786192,0.7334461719736842
valid,person_detected,8534,0.704347364594818,0.96834889557156,0.7047315104650029
valid,person_within_1m,447,0.6467007752657902,0.8855365381623523,0.6102260903036323
valid,person_within_2m,2287,0.7549820867253408,1.054884237702941,0.5465916591001083
valid,person_within_3m,4165,0.7176645893963933,0.9941237132253177,0.5639457983655054
test,all_rows,16149,0.5717822319318263,0.8093445381881755,0.8334193359962664
test,no_person_detected,6183,0.539629714220854,0.7362086671475714,0.8559220450527941
test,person_detected,9966,0.5917299558939917,0.8515672567759961,0.8140943933632521
test,person_within_1m,537,0.5607256248973684,0.7817355881720346,0.5501355689564764
test,person_within_2m,2358,0.6212743341932663,0.8790896059459559,0.7040166329186177
test,person_within_3m,4191,0.5997849394871891,0.8495358923534203,0.6900158613159459
