iteration,split,rmse
1,train,2.066198758468256
2,train,2.031636471531311
3,train,1.99775277748199
4,train,1.964739946905714
5,train,1.9325232651521012
6,train,1.9011096132849696
7,train,1.8703653222903167
8,train,1.840463791313043
9,train,1.8115190590784018
10,train,1.7830559984695962
11,train,1.7555122997501653
12,train,1.7286648708339942
13,train,1.7024482062607673
14,train,1.676875883706313
15,train,1.651945610130497
16,train,1.6278094392993296
17,train,1.604100029518959
18,train,1.5810627291585067
19,train,1.558540913493459
20,train,1.5367476087808158
21,train,1.5154484590881785
22,train,1.4948781007449417
23,train,1.4747339353289555
24,train,1.4550500246430826
25,train,1.4359777047846252
26,train,1.4175033087586606
27,train,1.3995537080571872
28,train,1.381884784343574
29,train,1.364762481133602
30,train,1.3480709966371218
31,train,1.3319809826454232
32,train,1.3163385882937495
33,train,1.301290480704052
34,train,1.2865944621058625
35,train,1.2721879513077565
36,train,1.258213706000697
37,train,1.24468500503508
38,train,1.2317070378463024
39,train,1.2190354273104578
40,train,1.2066242340243827
41,train,1.1945787167944117
42,train,1.1829559564611114
43,train,1.1716748087682294
44,train,1.1605838066646772
45,train,1.149958246629073
46,train,1.1396127385039614
47,train,1.1295724183016045
48,train,1.1199222128027992
49,train,1.1104767464401402
50,train,1.1012128267910752
51,train,1.0922207107338722
52,train,1.0835710389395348
53,train,1.075228466233206
54,train,1.0671094902680436
55,train,1.0593317427038094
56,train,1.0516535081224447
57,train,1.0442846970429525
58,train,1.0370810202831466
59,train,1.0301861490513822
60,train,1.0231756775131466
61,train,1.0166772218962854
62,train,1.0102808536947323
63,train,1.004234717210251
64,train,0.9982630249165118
65,train,0.9923698960259124
66,train,0.9869755539206742
67,train,0.9816252769982953
68,train,0.9759664150391717
69,train,0.970860899840084
70,train,0.9656515662276584
71,train,0.9607165535014222
72,train,0.9560517586593077
73,train,0.9514354372753426
74,train,0.9470003431667762
75,train,0.942655166418438
76,train,0.9383894805750707
77,train,0.9341306997296442
78,train,0.9300984667504725
79,train,0.9262439991901067
80,train,0.9224020611845231
81,train,0.9186390094863802
82,train,0.915229920506577
83,train,0.9119970342427441
84,train,0.9087883090560017
85,train,0.9057709005300559
86,train,0.9029632712414165
87,train,0.8998380481746292
88,train,0.8968022328233285
89,train,0.8940891904334684
90,train,0.8913398361400064
91,train,0.8887460247851201
92,train,0.886026069696456
93,train,0.8835046647172528
94,train,0.8810341598629837
95,train,0.87889780319063
96,train,0.8763678648594971
97,train,0.8739687063066265
98,train,0.8718396767927294
99,train,0.8696592303773097
100,train,0.8676695738250673
101,train,0.8656287007244896
102,train,0.8635680665611114
103,train,0.8617797348135687
104,train,0.8601227246817353
105,train,0.8583232493995532
106,train,0.8564716753369888
107,train,0.8547146489480668
108,train,0.8528337848691007
109,train,0.8511781457144648
110,train,0.8494885663072691
111,train,0.847707671056379
112,train,0.846344546279725
113,train,0.8446731248222163
114,train,0.8430084857593958
115,train,0.8415297165062432
116,train,0.840274108515004
117,train,0.8382369044074353
118,train,0.8370293966600221
119,train,0.8357412210336762
120,train,0.8346915196082756
121,train,0.8333606500481094
122,train,0.8320958558432499
123,train,0.830922446136035
124,train,0.8294944409087933
125,train,0.8285033009606301
126,train,0.8275611977947962
127,train,0.8264103656630559
128,train,0.825192330042155
129,train,0.8243759189208739
130,train,0.8230745004190179
131,train,0.821521127018844
132,train,0.8203401741710241
133,train,0.8189432310072255
134,train,0.8178479478387348
135,train,0.8170090338135105
136,train,0.8157550530856135
137,train,0.8145755368868699
138,train,0.8138483364951828
139,train,0.812586946858919
140,train,0.8117247351088426
141,train,0.8108534941460475
142,train,0.8096522939471585
143,train,0.8086001018951229
144,train,0.8073908799637156
145,train,0.8067357820488593
146,train,0.8058978573880071
147,train,0.8050311958480434
148,train,0.8045182729033964
149,train,0.8037030952196869
150,train,0.8028373092712263
151,train,0.8022787975038324
152,train,0.8013630865215664
153,train,0.8006415023872049
154,train,0.7996929217728586
155,train,0.7991344196830749
156,train,0.7983017009768646
157,train,0.7973442498902684
158,train,0.7967819791505456
159,train,0.7963542814219318
160,train,0.7954505894212106
161,train,0.7945269553014166
162,train,0.7936135129437281
163,train,0.7929753654396449
164,train,0.7924484522766738
165,train,0.7917323365657795
166,train,0.7912765903736652
167,train,0.7903756444429896
168,train,0.7895046418620116
169,train,0.7890951984337881
170,train,0.7883567315698311
171,train,0.7876195948999161
172,train,0.7868146627993277
173,train,0.7861022688029847
174,train,0.7856337163420278
175,train,0.7852376374257094
176,train,0.7848248855037379
177,train,0.7843069223009766
178,train,0.7835843140271107
179,train,0.7829891531364893
180,train,0.7826038848787198
181,train,0.7822781551146254
182,train,0.7819519611434835
183,train,0.7812911027353796
184,train,0.7805473122881664
185,train,0.7799955872898042
186,train,0.7795246473239723
187,train,0.7790349008397298
188,train,0.7783788695029057
189,train,0.7779211409966095
190,train,0.7772230272144893
191,train,0.7768167871028343
192,train,0.7762695627781045
193,train,0.7758682803691093
194,train,0.7753677762976873
195,train,0.7747871145312303
196,train,0.7743674240970132
197,train,0.7739909691891723
198,train,0.7737309098956183
199,train,0.7732704038193541
200,train,0.7730438529281863
201,train,0.7726407696860961
202,train,0.7722608868433108
203,train,0.7718953389525088
204,train,0.7713198316183343
205,train,0.7707138915530292
206,train,0.7701959274291762
207,train,0.7697413111333428
208,train,0.7694524083063432
209,train,0.7690833024888625
210,train,0.7688126327521676
211,train,0.7682126189192258
212,train,0.7676885687644986
213,train,0.7673827585346907
214,train,0.7669566363928182
215,train,0.7662747392130823
216,train,0.7660335168835716
217,train,0.7655311707406349
218,train,0.7651669153090178
219,train,0.7647455947864981
220,train,0.7643339640304968
221,train,0.7637064073765597
222,train,0.7633921929645967
223,train,0.7627914081038074
224,train,0.7624388312504637
225,train,0.7621764419895307
226,train,0.7617572924731103
227,train,0.761387835462352
228,train,0.7611005690228791
1,valid,1.7892243112711723
2,valid,1.7610183214901496
3,valid,1.7334832263485977
4,valid,1.7066285154506344
5,valid,1.6803310846383115
6,valid,1.6548808029195647
7,valid,1.6299083220057322
8,valid,1.6057295643457448
9,valid,1.5823226253346885
10,valid,1.5593996549362195
11,valid,1.5369968662173066
12,valid,1.5153025050911384
13,valid,1.4943206682360959
14,valid,1.4736294222617945
15,valid,1.4535308964732823
16,valid,1.4340590954943389
17,valid,1.4152195489306876
18,valid,1.396929360263017
19,valid,1.378926862752817
20,valid,1.361679279622654
21,valid,1.3450258302151459
22,valid,1.3287976738556047
23,valid,1.3130349105441508
24,valid,1.2976168879507475
25,valid,1.28274811298483
26,valid,1.268133111267839
27,valid,1.254331257487919
28,valid,1.240600224392497
29,valid,1.2272047297155946
30,valid,1.2144460968542876
31,valid,1.202065000831439
32,valid,1.1899479348253919
33,valid,1.1786151341582645
34,valid,1.167620029048286
35,valid,1.15691784741678
36,valid,1.1465282065981004
37,valid,1.1362563517436564
38,valid,1.126327650312188
39,valid,1.1167575833605783
40,valid,1.1071954913794966
41,valid,1.0982533876707687
42,valid,1.0902049677848484
43,valid,1.0817730850486629
44,valid,1.073467944401161
45,valid,1.0654873252077601
46,valid,1.0580234369231254
47,valid,1.0505216402977267
48,valid,1.0434857221996308
49,valid,1.0367842185338223
50,valid,1.0297030334790633
51,valid,1.0230590307289926
52,valid,1.01731839801905
53,valid,1.011199542492883
54,valid,1.0052692143403659
55,valid,0.9996471661584316
56,valid,0.9945090538778487
57,valid,0.9891550472666675
58,valid,0.983930502965107
59,valid,0.9792049074633535
60,valid,0.9742841047570905
61,valid,0.9699526184415593
62,valid,0.9657889797063249
63,valid,0.9617710517704027
64,valid,0.9576707568782877
65,valid,0.9536545631391972
66,valid,0.9499108940150193
67,valid,0.946563608030115
68,valid,0.9429048179639163
69,valid,0.9394103426468811
70,valid,0.9358858913695521
71,valid,0.9324394927893129
72,valid,0.9296154346506171
73,valid,0.9268551234331527
74,valid,0.9236983229981904
75,valid,0.9208476088636695
76,valid,0.9182700023047198
77,valid,0.915737870086915
78,valid,0.9135988605187317
79,valid,0.9113409390804454
80,valid,0.9089130779726742
81,valid,0.9066865162260719
82,valid,0.9045860809269183
83,valid,0.9025434105071798
84,valid,0.9009306789365301
85,valid,0.8991472727532736
86,valid,0.8972563659259395
87,valid,0.895527728002864
88,valid,0.8938337202436375
89,valid,0.8922503108586475
90,valid,0.8909407330349199
91,valid,0.8897740529267898
92,valid,0.888325494828466
93,valid,0.8869174210110188
94,valid,0.8855389587763192
95,valid,0.8843599811166524
96,valid,0.8830768812070239
97,valid,0.881818294624526
98,valid,0.8810452619349854
99,valid,0.880026739577221
100,valid,0.8791043871356872
101,valid,0.8780597388010916
102,valid,0.8771938343779845
103,valid,0.8764467900797086
104,valid,0.8758875109561824
105,valid,0.8748499065542256
106,valid,0.8742064674849522
107,valid,0.8733307750251672
108,valid,0.8727479964065019
109,valid,0.8717334377243451
110,valid,0.871415933148225
111,valid,0.8707873549957548
112,valid,0.8703621525766727
113,valid,0.8697253907507339
114,valid,0.8690944437622993
115,valid,0.8686090951635737
116,valid,0.8680418061995325
117,valid,0.8675035416538779
118,valid,0.8672067141750944
119,valid,0.8666135972534643
120,valid,0.8662063631857909
121,valid,0.8658557028624158
122,valid,0.8654892906115148
123,valid,0.8652250909631942
