split,mae,rmse,r2
train,0.5450273890129035,0.8179616737450901,0.8489528978338794
valid,0.6301868710897439,0.8763728996067682,0.7376678383455854
test,0.5717822319318263,0.8093445381881755,0.8334193359962664
