feature,importance
hour,446
source_temp,372
temp_roll_mean_5,185
object_id,130
temp_roll_mean_10,114
temp_roll_std_30,112
temp_lag_1,90
minute,70
temp_roll_mean_20,55
temp_roll_mean_30,51
display_y,48
day_of_week,43
temp_roll_std_20,28
display_x,27
temp_roll_std_10,21
people_count_total,20
temp_lag_30,19
temp_lag_2,19
temp_lag_28,17
temp_lag_3,17
temp_roll_std_5,16
nearest_person_dy,16
temp_lag_27,15
temp_lag_16,12
temp_lag_13,10
nearest_person_dx,8
temp_lag_22,8
temp_lag_26,7
temp_lag_21,7
temp_lag_24,7
temp_lag_29,6
temp_lag_17,5
mean_person_distance,5
temp_lag_20,5
temp_lag_14,4
temp_lag_15,4
anchor_y,4
temp_lag_7,3
temp_lag_23,3
temp_lag_4,3
temp_lag_25,2
temp_delta_1,2
temp_lag_12,2
temp_lag_19,2
temp_lag_10,2
temp_lag_9,2
temp_lag_6,2
nearest_person_distance,2
people_count_within_3m,2
anchor_x,2
temp_lag_18,1
temp_lag_11,1
temp_lag_8,1
people_count_within_2m,1
label,0
temp_lag_5,0
people_count_within_1m,0
seconds_since_previous,0
target_minutes_ahead,0
