feature,importance
temp_roll_mean_20,0.31415236
temp_roll_mean_5,0.20723519
temp_roll_mean_30,0.113825954
temp_roll_mean_10,0.10841293
source_temp,0.07508994
temp_lag_2,0.050409403
temp_lag_3,0.018353838
temp_lag_1,0.013405852
temp_lag_14,0.0052040205
temp_lag_20,0.003983393
temp_lag_27,0.0038621046
temp_lag_19,0.003343739
temp_lag_15,0.0032554197
temp_lag_26,0.0028841335
temp_lag_12,0.0028380728
temp_lag_30,0.00283114
object_id,0.0026947046
temp_lag_22,0.0026666378
display_x,0.002559128
anchor_y,0.002548962
target_minutes_ahead,0.0024934432
hour,0.0024876783
temp_lag_21,0.002481529
temp_lag_25,0.0023396797
temp_lag_18,0.0022050072
day_of_week,0.0021275303
temp_lag_13,0.0019201633
anchor_x,0.0018213568
temp_roll_std_20,0.0018032443
temp_lag_4,0.001778901
temp_roll_std_5,0.0017625396
temp_lag_17,0.0017400539
nearest_person_dy,0.0017163842
minute,0.0017154488
temp_roll_std_10,0.0016015025
temp_lag_11,0.0016000905
seconds_since_previous,0.0015879583
temp_roll_std_30,0.0015741687
nearest_person_dx,0.0015525082
temp_lag_29,0.0015069508
canonical_label,0.0014968954
mean_person_distance,0.0014658446
temp_lag_9,0.0014533725
temp_lag_7,0.0013572605
people_count_total,0.0013490114
temp_lag_8,0.0013381367
temp_lag_6,0.0013377465
temp_lag_23,0.0013157881
temp_lag_5,0.0013022978
temp_lag_24,0.0012749264
temp_lag_10,0.001270187
people_count_within_2m,0.0012640705
display_y,0.0011819578
nearest_person_distance,0.0011492672
people_count_within_3m,0.0010824543
temp_lag_16,0.0010177547
temp_delta_1,0.0009869668
temp_lag_28,0.0009829573
people_count_within_1m,0.0
observations_in_frame,0.0
requested_horizon_min,0.0
