model_version,model_family,tuning,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
LGBM baseline,LGBM,baseline,10.0,16432,-0.03400669002754102,0.035841396167963696,0.48411545676512685,0.7043079759521716,-1.1644741664526082,0.8762349767431691,,
LGBM baseline,LGBM,baseline,20.0,16149,-0.05368606265276981,0.0492827722176087,0.5851245411461652,0.8219679265680465,-1.442402134984819,1.0028649971044772,,
LGBM tuned,LGBM,tuned,10.0,16432,-0.0276915477321555,0.0414918318910313,0.47921313652378605,0.700799389373648,-1.1423822814951539,0.8855729753035417,,
LGBM tuned,LGBM,tuned,20.0,16149,-0.05234456463585047,0.0483002879254534,0.5717822319318263,0.8093445381881755,-1.4119720299844254,0.9911208730512695,,
XGBoost baseline,XGBoost,baseline,10.0,16432,-0.03788456073714721,0.0357017517089843,0.483342399505844,0.7023346946185115,-1.1636914253234862,0.8706130981445305,2.1595160477726387,0.8920399221032133
XGBoost baseline,XGBoost,baseline,20.0,16149,-0.054541200612830625,0.043121337890625,0.5854717520205361,0.8191408832215895,-1.4320659637451172,1.0204174041748046,2.5085433978574523,0.883522199516998
XGBoost tuned,XGBoost,tuned,10.0,16432,-0.025909951734516636,0.042346956604005045,0.4782131746708603,0.7015352923113432,-1.1373779296875,0.889480686187744,2.2407338859542354,0.9080452775073028
XGBoost tuned,XGBoost,tuned,20.0,16149,-0.04848758986894841,0.0594978332519531,0.5710449903825893,0.8068605187904224,-1.4254119873046895,0.9854885101318355,2.8786157170103412,0.926930460090408
