object_id,label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
light_1,Light,LGBM baseline,10.0,1747,-0.008776392915496149,0.0042083927969969,0.402596621414657,0.516758590242496,-0.8957195588618415,0.833514716119864,,
light_1,Light,LGBM baseline,20.0,1727,0.0009101611857237254,0.0230012473018668,0.4676116859990285,0.5912135386886574,-0.9371824495978082,0.9318765069684802,,
light_1,Light,LGBM tuned,10.0,1747,-0.009191969198009204,-0.007713566664421,0.40281926571516186,0.5167537925139362,-0.8882379902296427,0.8370611058926346,,
light_1,Light,LGBM tuned,20.0,1727,0.00835268216467395,0.0262480589501059,0.4721691335102114,0.5980284353694855,-0.968133622572191,0.9614804371751234,,
light_1,Light,XGBoost baseline,10.0,1747,-0.0051267336877140616,0.0043487548828125,0.4054158532304458,0.517812227760013,-0.8905595779418944,0.8308269500732419,1.8191190457927875,0.9267315397824842
light_1,Light,XGBoost baseline,20.0,1727,-0.007694421134257234,0.0044422149658203,0.4718176196598684,0.595059346965588,-0.9547260284423803,0.9464029312133804,2.0941215726693687,0.9310943833236827
light_1,Light,XGBoost tuned,10.0,1747,-0.007923411188150077,-0.0052852630615234,0.40074456318219903,0.5155054600144379,-0.8937755584716787,0.832511138916014,1.901499126502576,0.933028048082427
light_1,Light,XGBoost tuned,20.0,1727,0.012871570468973397,0.034149169921875,0.47094864619401583,0.5944290262629192,-0.9659317016601536,0.9615478515624993,2.3358516919513606,0.9513607411696584
light_2,Light,LGBM baseline,10.0,1881,-0.06645160157711102,-0.0428681253841212,0.4111472490386267,0.5372560335517086,-0.9878188816352704,0.8143609704466996,,
light_2,Light,LGBM baseline,20.0,1848,-0.12224872767602156,-0.0724796751791707,0.4864249225706241,0.6178904058377075,-1.191440875336361,0.8456995613947086,,
light_2,Light,LGBM tuned,10.0,1881,-0.05247655697726441,-0.0240301117717827,0.4070706458803524,0.5332504268613332,-0.9739373218010848,0.780360662885176,,
light_2,Light,LGBM tuned,20.0,1848,-0.11248219556587033,-0.06822807291553085,0.47600119790149376,0.6033041467281419,-1.1703192648649328,0.8005689808236836,,
light_2,Light,XGBoost baseline,10.0,1881,-0.08517565667739799,-0.0619487762451171,0.41412218348945357,0.538238632483921,-1.0017910003662074,0.7936878204345703,1.8766037612971822,0.9255715045188729
light_2,Light,XGBoost baseline,20.0,1848,-0.13434279118291687,-0.07367134094238276,0.48887250021398504,0.6197334119958459,-1.197766685485841,0.8229366302490233,2.026814193181818,0.9123376623376623
light_2,Light,XGBoost tuned,10.0,1881,-0.05012489492068353,-0.0198745727539098,0.40614320876760773,0.5334658708565092,-0.9675369262695312,0.7987117767333984,1.8686058575225943,0.9271664008506114
light_2,Light,XGBoost tuned,20.0,1848,-0.11402930324238042,-0.064999580383299,0.4705975427252937,0.6007146926261323,-1.1845133781433106,0.7972005844116199,2.3446295200216447,0.948051948051948
light_3,Light,LGBM baseline,10.0,488,0.06327474645033003,0.1195250813181232,0.32877568058283346,0.40367536449524477,-0.6977614914636098,0.6340125231373983,,
light_3,Light,LGBM baseline,20.0,503,0.16596115998038277,0.2362521113367073,0.39854103455729745,0.470767742291972,-0.6416436613783112,0.7682034955067357,,
light_3,Light,LGBM tuned,10.0,488,0.055386974681134044,0.11522224992285496,0.3309952303959812,0.4062203964305269,-0.7196856400061378,0.649929478855432,,
light_3,Light,LGBM tuned,20.0,503,0.12623742843573446,0.188821662934167,0.3813365511164585,0.45723624880341607,-0.6321468717327974,0.7329891363669706,,
